"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"U100","SOT23-5_L","-1.26mm","57.93mm","-1.26mm","57.93mm","-0.06mm","58.88mm","B","180.00","MAX4372H"
"U101","SOT23-5_L","4.6mm","24.1mm","4.6mm","24.1mm","5.8mm","25.05mm","B","180.00","MAX4372F"
"U200","MF05A_N","18mm","56.5mm","18mm","56.5mm","16.8mm","55.55mm","B","360.00","LMP2231"
"U201","MF05A_N","9.3mm","56.5mm","9.3mm","56.5mm","8.1mm","55.55mm","B","360.00","LMV7239"
"C1_M501","CAPC3216M","32.26mm","29.74mm","32.26mm","29.74mm","32.26mm","31.29mm","B","270.00","4.7uF"
"C1_M502","CAPC3216M","49.989mm","29.8mm","49.989mm","29.8mm","49.989mm","31.35mm","B","270.00","4.7uF"
"C1_M503","CAPC3216M","67.728mm","29.802mm","67.728mm","29.802mm","67.728mm","31.352mm","B","270.00","4.7uF"
"C1_M504","CAPC3216M","39.736mm","4.456mm","39.736mm","4.456mm","39.736mm","2.906mm","B","90.00","4.7uF"
"C1_M505","CAPC3216M","21.925mm","4.458mm","21.925mm","4.458mm","21.925mm","2.908mm","B","90.00","4.7uF"
"C1_M506","CAPC3216M","57.471mm","4.469mm","57.471mm","4.469mm","57.471mm","2.919mm","B","90.00","4.7uF"
"C2_M501","C0603K","20.86mm","23.24mm","20.86mm","23.24mm","20.86mm","22.365mm","B","90.00","100pF"
"C2_M502","C0603K","38.589mm","23.3mm","38.589mm","23.3mm","38.589mm","22.425mm","B","90.00","100pF"
"C2_M503","C0603K","56.328mm","23.302mm","56.328mm","23.302mm","56.328mm","22.427mm","B","90.00","100pF"
"C2_M504","C0603K","51.136mm","11.156mm","51.136mm","11.156mm","51.136mm","12.031mm","B","270.00","100pF"
"C2_M505","C0603K","33.325mm","11.158mm","33.325mm","11.158mm","33.325mm","12.033mm","B","270.00","100pF"
"C2_M506","C0603K","68.871mm","11.169mm","68.871mm","11.169mm","68.871mm","12.044mm","B","270.00","100pF"
"C3_M501","594D107X9016D2T","22.46mm","29.24mm","22.46mm","26.94mm","22.46mm","26.94mm","B","90.00","100uF"
"C3_M502","594D107X9016D2T","40.189mm","29.3mm","40.189mm","27mm","40.189mm","27mm","B","90.00","100uF"
"C3_M503","594D107X9016D2T","57.928mm","29.302mm","57.928mm","27.002mm","57.928mm","27.002mm","B","90.00","100uF"
"C3_M504","594D107X9016D2T","49.536mm","5.156mm","49.536mm","7.456mm","49.536mm","7.456mm","B","270.00","100uF"
"C3_M505","594D107X9016D2T","31.725mm","5.158mm","31.725mm","7.458mm","31.725mm","7.458mm","B","270.00","100uF"
"C3_M506","594D107X9016D2T","67.271mm","5.169mm","67.271mm","7.469mm","67.271mm","7.469mm","B","270.00","100uF"
"R1_M501","R0603","32.0599mm","33.54mm","32.06mm","33.54mm","31.2099mm","33.54mm","B","360.00","100k"
"R1_M502","R0603","49.7889mm","33.6mm","49.789mm","33.6mm","48.9389mm","33.6mm","B","360.00","100k"
"R1_M503","R0603","67.5279mm","33.602mm","67.528mm","33.602mm","66.6779mm","33.602mm","B","360.00","100k"
"R1_M504","R0603","39.9361mm","0.856mm","39.936mm","0.856mm","40.7861mm","0.856mm","B","180.00","100k"
"R1_M505","R0603","22.1251mm","0.858mm","22.125mm","0.858mm","22.9751mm","0.858mm","B","180.00","100k"
"R1_M506","R0603","57.6711mm","0.869mm","57.671mm","0.869mm","58.5211mm","0.869mm","B","180.00","100k"
"R2_M501","R0603","28.8599mm","33.54mm","28.86mm","33.54mm","28.0099mm","33.54mm","B","360.00","180"
"R2_M502","R0603","46.5889mm","33.6mm","46.589mm","33.6mm","45.7389mm","33.6mm","B","360.00","180"
"R2_M503","R0603","64.3279mm","33.602mm","64.328mm","33.602mm","63.4779mm","33.602mm","B","360.00","180"
"R2_M504","R0603","43.1361mm","0.856mm","43.136mm","0.856mm","43.9861mm","0.856mm","B","180.00","180"
"R2_M505","R0603","25.3251mm","0.858mm","25.325mm","0.858mm","26.1751mm","0.858mm","B","180.00","180"
"R2_M506","R0603","60.8711mm","0.869mm","60.871mm","0.869mm","61.7211mm","0.869mm","B","180.00","180"
"R3_M501","RESC1608M","32.26mm","22.14mm","32.26mm","22.14mm","33.21mm","22.14mm","B","180.00","0R"
"R3_M502","RESC1608M","49.989mm","22.2mm","49.989mm","22.2mm","50.939mm","22.2mm","B","180.00","0R"
"R3_M503","RESC1608M","67.728mm","22.202mm","67.728mm","22.202mm","68.678mm","22.202mm","B","180.00","0R"
"R3_M504","RESC1608M","39.736mm","12.256mm","39.736mm","12.256mm","38.786mm","12.256mm","B","360.00","0R"
"R3_M505","RESC1608M","21.925mm","12.258mm","21.925mm","12.258mm","20.975mm","12.258mm","B","360.00","0R"
"R3_M506","RESC1608M","57.471mm","12.269mm","57.471mm","12.269mm","56.521mm","12.269mm","B","360.00","0R"
"R4_M501","RESC1608M","32.26mm","20.64mm","32.26mm","20.64mm","33.21mm","20.64mm","B","180.00","0R"
"R4_M502","RESC1608M","49.989mm","20.7mm","49.989mm","20.7mm","50.939mm","20.7mm","B","180.00","0R"
"R4_M503","RESC1608M","67.728mm","20.702mm","67.728mm","20.702mm","68.678mm","20.702mm","B","180.00","0R"
"R4_M504","RESC1608M","39.736mm","13.756mm","39.736mm","13.756mm","38.786mm","13.756mm","B","360.00","0R"
"R4_M505","RESC1608M","21.925mm","13.758mm","21.925mm","13.758mm","20.975mm","13.758mm","B","360.00","0R"
"R4_M506","RESC1608M","57.471mm","13.769mm","57.471mm","13.769mm","56.521mm","13.769mm","B","360.00","0R"
"R5_M501","FOOTPRINT_1812","27.76mm","22.24mm","27.76mm","22.24mm","27.76mm","20.19mm","B","90.00","0.025R"
"R5_M502","FOOTPRINT_1812","45.489mm","22.3mm","45.489mm","22.3mm","45.489mm","20.25mm","B","90.00","0.025R"
"R5_M503","FOOTPRINT_1812","63.228mm","22.302mm","63.228mm","22.302mm","63.228mm","20.252mm","B","90.00","0.025R"
"R5_M504","FOOTPRINT_1812","44.236mm","12.156mm","44.236mm","12.156mm","44.236mm","14.206mm","B","270.00","0.025R"
"R5_M505","FOOTPRINT_1812","26.425mm","12.158mm","26.425mm","12.158mm","26.425mm","14.208mm","B","270.00","0.025R"
"R5_M506","FOOTPRINT_1812","61.971mm","12.169mm","61.971mm","12.169mm","61.971mm","14.219mm","B","270.00","0.025R"
"R6_M501","FOOTPRINT_1812","23.66mm","22.24mm","23.66mm","22.24mm","23.66mm","20.19mm","B","90.00","0.025R"
"R6_M502","FOOTPRINT_1812","41.389mm","22.3mm","41.389mm","22.3mm","41.389mm","20.25mm","B","90.00","0.025R"
"R6_M503","FOOTPRINT_1812","59.128mm","22.302mm","59.128mm","22.302mm","59.128mm","20.252mm","B","90.00","0.025R"
"R6_M504","FOOTPRINT_1812","48.336mm","12.156mm","48.336mm","12.156mm","48.336mm","14.206mm","B","270.00","0.025R"
"R6_M505","FOOTPRINT_1812","30.525mm","12.158mm","30.525mm","12.158mm","30.525mm","14.208mm","B","270.00","0.025R"
"R6_M506","FOOTPRINT_1812","66.071mm","12.169mm","66.071mm","12.169mm","66.071mm","14.219mm","B","270.00","0.025R"
"U2_M501","SOT23-5_L","32.36mm","25.04mm","32.36mm","25.04mm","31.41mm","26.24mm","B","270.00","MAX4372F"
"U2_M502","SOT23-5_L","50.089mm","25.1mm","50.089mm","25.1mm","49.139mm","26.3mm","B","270.00","MAX4372F"
"U2_M503","SOT23-5_L","67.828mm","25.102mm","67.828mm","25.102mm","66.878mm","26.302mm","B","270.00","MAX4372F"
"U2_M504","SOT23-5_L","39.636mm","9.656mm","39.636mm","9.656mm","40.586mm","8.456mm","B","90.00","MAX4372F"
"U2_M505","SOT23-5_L","21.825mm","9.658mm","21.825mm","9.658mm","22.775mm","8.458mm","B","90.00","MAX4372F"
"U2_M506","SOT23-5_L","57.371mm","9.669mm","57.371mm","9.669mm","58.321mm","8.469mm","B","90.00","MAX4372F"
"C600","CAPC1608M","54.5mm","44.15mm","54.5mm","44.15mm","53.6mm","44.15mm","B","360.00","1uF"
"R600","RESC1608M","54.5mm","45.75mm","54.5mm","45.75mm","53.55mm","45.75mm","B","360.00","2K"
"U600","100T1_N","39mm","47.5mm","39mm","47.5mm","45mm","39.95mm","B","90.00","ATMEGA2560"
"H1","footprint_2x26_stik","79.502mm","39.37mm","78.232mm","71.12mm","78.232mm","71.12mm","T","0.00","SSQ-126-03-G-D"
"H2","footprint_2x26_stik","84.582mm","39.37mm","83.312mm","71.12mm","83.312mm","71.12mm","T","0.00","SSQ-126-03-G-D"
"C500","CAPC1608M","63.9mm","55.225mm","63.9mm","55.225mm","63mm","55.225mm","B","360.00","100nF"
"C501","CAPC1608M","63.95mm","47.725mm","63.95mm","47.725mm","63.05mm","47.725mm","B","360.00","100nF"
"C502","CAPC1608M","52.5mm","47.725mm","52.5mm","47.725mm","53.4mm","47.725mm","B","180.00","100nF"
"C503","CAPC1608M","52.5mm","55.225mm","52.5mm","55.225mm","53.4mm","55.225mm","B","180.00","100nF"
"C504","CAPC1608M","58.2mm","48.025mm","58.2mm","48.025mm","59.1mm","48.025mm","B","180.00","100nF"
"C601","CAPC1608M","29.4mm","47mm","29.4mm","47mm","29.4mm","46.1mm","B","90.00","100nF"
"C602","CAPC1608M","37.475mm","57.7mm","37.475mm","57.7mm","36.575mm","57.7mm","B","360.00","100nF"
"C603","CAPC1608M","3.4mm","56.8mm","3.4mm","56.8mm","2.5mm","56.8mm","B","360.00","100nF"
"C604","CAPC1608M","48.7mm","52.8mm","48.7mm","52.8mm","48.7mm","51.9mm","B","90.00","100nF"
"R500","RESC1608M","63.9mm","52.225mm","63.9mm","52.225mm","62.95mm","52.225mm","B","360.00","100k"
"R501","RESC1608M","63.95mm","50.725mm","63.95mm","50.725mm","64.9mm","50.725mm","B","180.00","100k"
"R502","RESC1608M","52.5mm","50.725mm","52.5mm","50.725mm","53.45mm","50.725mm","B","180.00","100k"
"R503","RESC1608M","52.5mm","52.225mm","52.5mm","52.225mm","51.55mm","52.225mm","B","360.00","100k"
"R504","RESC1608M","63.9mm","53.725mm","63.9mm","53.725mm","62.95mm","53.725mm","B","360.00","47k"
"R505","RESC1608M","63.95mm","49.225mm","63.95mm","49.225mm","63mm","49.225mm","B","360.00","47k"
"R506","RESC1608M","52.5mm","49.225mm","52.5mm","49.225mm","53.45mm","49.225mm","B","180.00","47k"
"R507","RESC1608M","52.5mm","53.725mm","52.5mm","53.725mm","53.45mm","53.725mm","B","180.00","47k"
"U500","MTC14_N","58.2mm","51.425mm","58.2mm","51.425mm","61.05mm","53.375mm","B","180.00","LMP2234AMT"
"TMP1","SOT26A-6AM","4.5mm","62.8mm","4.5mm","62.8mm","3.55mm","63.925mm","B","270.00","TMP121"
"TMP2","SOT26A-6AM","18.3mm","-2.2mm","18.3mm","-2.2mm","19.425mm","-1.25mm","B","180.00","TMP121"
"TMP3","SOT26A-6AM","58.4mm","63.4mm","58.4mm","63.4mm","57.45mm","64.525mm","B","270.00","TMP121"
"TMP4","SOT26A-6AM","69.525mm","39.875mm","69.525mm","39.875mm","68.575mm","38.75mm","T","90.00","TMP121"
"C5_B1","CAPC1608M","9.3mm","75.2mm","9.3mm","75.2mm","8.4mm","75.2mm","B","360.00","100nF"
"C5_B2","CAPC1608M","36.5mm","75.3mm","36.5mm","75.3mm","35.6mm","75.3mm","B","360.00","100nF"
"C5_B3","CAPC1608M","63.5mm","75.3mm","63.5mm","75.3mm","62.6mm","75.3mm","B","360.00","100nF"
"C203","CAPC1608M","13.6mm","53mm","13.6mm","53mm","13.6mm","52.1mm","B","90.00","100nF"
"C204","CAPC1608M","17.2mm","53mm","17.2mm","53mm","17.2mm","52.1mm","B","90.00","100nF"
"C800","CAPC1608M","13.3mm","20.4mm","13.3mm","20.4mm","14.2mm","20.4mm","B","180.00","1uF"
"C801","CAPC2012M","15.3mm","25.4mm","15.3mm","25.4mm","16.25mm","25.4mm","B","180.00","4.7uF"
"C802","CAPC1608M","48.8mm","38.8mm","48.8mm","38.8mm","48.8mm","39.7mm","B","270.00","1uF"
"D800","CD1608-0603","-0.3mm","23.2mm","-0.3mm","23.2mm","-0.3mm","22.35mm","B","90.00","CDBU0240"
"D801","CD1608-0603","10.5mm","21.5mm","10.5mm","21.5mm","10.5mm","20.65mm","B","90.00","CDBU0240"
"D802","SS10p4","65.005mm","80.25mm","62.6mm","80.25mm","62.6mm","80.25mm","B","90.00","SS10P4"
"L800","INDC3216AL","62mm","45.55mm","62mm","45.55mm","63.35mm","45.55mm","B","180.00","10uH ELJFA100JF"
"Q800","SOT23","44.1mm","81mm","44.1mm","81mm","42.9999mm","80.05mm","B","90.00","TN0200K"
"Q801","SOT23","44.3mm","77.9mm","44.3mm","77.9mm","45.4001mm","78.85mm","B","270.00","TN0200K"
"Q802","SOT223-4N","52.05mm","80.15mm","52.05mm","80.15mm","49.15mm","77.85mm","B","360.00","NDT456P"
"R800","RESC1608M","41.5mm","78.1mm","41.5mm","78.1mm","41.5mm","79.05mm","B","270.00","300k"
"R801","RESC1608M","12.2mm","22.825mm","12.2mm","22.825mm","12.2mm","21.875mm","B","90.00","100k"
"R802","RESC1608M","46.1mm","82.45mm","46.1mm","82.45mm","45.15mm","82.45mm","B","360.00","300k"
"R803","RESC1608M","47mm","78.85mm","47mm","78.85mm","47mm","77.9mm","B","90.00","300k"
"R804","Footprint_1812","58.9mm","80.35mm","58.9mm","80.35mm","58.9mm","82.4mm","B","270.00","1R 2512"
"U800","SOT23-5BM","15.5mm","22.7mm","15.5mm","22.7mm","14.3mm","21.75mm","B","360.00","MIC5233-3.3YM5 TR"
"C401","594D107X9016D2T","-1.05mm","8.7mm","-1.05mm","11mm","-1.05mm","11mm","T","270.00","100uF"
"Q406","SOT23","1.95mm","5.85mm","1.95mm","5.85mm","2.9mm","4.7499mm","B","180.00","TN0200K"
"R413","RESC1608M","19.55mm","11.1mm","19.55mm","11.1mm","19.55mm","12.05mm","B","270.00","100k"
"R601","RESC1608M","68.2mm","59.1mm","68.2mm","59.1mm","68.2mm","58.15mm","B","90.00","300k"
"R602","RESC1608M","66.2mm","59.1mm","66.2mm","59.1mm","66.2mm","58.15mm","B","90.00","NM"
"R603","RESC1608M","34.7mm","63.4mm","34.7mm","63.4mm","35.65mm","63.4mm","B","180.00","300k"
"R604","RESC1608M","34.7mm","65.1mm","34.7mm","65.1mm","33.75mm","65.1mm","B","360.00","NM"
"R605","RESC1608M","8.1mm","59.8mm","8.1mm","59.8mm","7.15mm","59.8mm","B","360.00","300k"
"R606","RESC1608M","10.5mm","62.9mm","10.5mm","62.9mm","10.5mm","61.95mm","B","90.00","NM"
"KS1","PICOBLADE_2_PIN","11.689mm","80.569mm","11.675mm","79.15mm","11.05mm","79.15mm","B","360.00","53398-0271"
"KS2","PICOBLADE_2_PIN","76.514mm","3.881mm","76.5mm","5.3mm","75.875mm","5.3mm","T","360.00","53398-0271"
"R607","RESC1608M","27.8mm","36.7mm","27.8mm","36.7mm","28.75mm","36.7mm","B","180.00","47k"
"R608","RESC1608M","35.9mm","28mm","35.9mm","28mm","34.95mm","28mm","B","360.00","47k"
"R609","RESC1608M","53.6mm","27.9mm","53.6mm","27.9mm","52.65mm","27.9mm","B","360.00","47k"
"R610","RESC1608M","41.3mm","36.3mm","41.3mm","36.3mm","42.25mm","36.3mm","B","180.00","47k"
"R611","RESC1608M","35.9mm","33.6mm","35.9mm","33.6mm","36.85mm","33.6mm","B","180.00","47k"
"R612","RESC1608M","44.9mm","36.7mm","44.9mm","36.7mm","43.95mm","36.7mm","B","360.00","47k"
"R613","RESC1608M","27.8mm","35.2mm","27.8mm","35.2mm","26.85mm","35.2mm","B","360.00","110k"
"R614","RESC1608M","35.9mm","29.8mm","35.9mm","29.8mm","36.85mm","29.8mm","B","180.00","110k"
"R615","RESC1608M","53.6mm","30.1mm","53.6mm","30.1mm","54.55mm","30.1mm","B","180.00","110k"
"R616","RESC1608M","41.3mm","34.8mm","41.3mm","34.8mm","40.35mm","34.8mm","B","360.00","110k"
"R617","RESC1608M","35.9mm","31.8mm","35.9mm","31.8mm","34.95mm","31.8mm","B","360.00","110k"
"R618","RESC1608M","44.9mm","35.2mm","44.9mm","35.2mm","45.85mm","35.2mm","B","180.00","110k"
"U203","SOT23-3M","19.7mm","52.8mm","19.7mm","52.8mm","20.65mm","51.8mm","B","90.00","LM4040AIM3-2.5"
"R301","RESC1608M","74.3mm","38.3mm","74.3mm","38.3mm","73.35mm","38.3mm","B","360.00","NM"
"R302","RESC1608M","74.3mm","40mm","74.3mm","40mm","73.35mm","40mm","B","360.00","NM"
"PBAT1","M80-5421442","24.2mm","46.9mm","23.075mm","46.9mm","25.575mm","40.9mm","T","270.00","M80-541442"
"U606","SOT23-5AM","39.6mm","64.425mm","39.6mm","64.425mm","40.8mm","65.375mm","B","180.00","ADG701"
"U607","SOT23-5AM","12.9mm","62.8mm","12.9mm","62.8mm","11.95mm","64mm","B","270.00","ADG701"
"D600","CD1608-0603","33.45mm","76.3mm","33.45mm","76.3mm","33.45mm","75.45mm","B","90.00","CDBU0240"
"R624","RESC1608M","69.65mm","63.05mm","69.65mm","63.05mm","69.65mm","62.1mm","B","90.00","300k"
"R625","RESC1608M","31.8mm","76.3mm","31.8mm","76.3mm","31.8mm","75.35mm","B","90.00","10k"
"P107","M80-8280642","4.6mm","39.5mm","7mm","37.5mm","7mm","37.5mm","T","90.00","Header 3X2"
"R415","RESC1608M","13.95mm","10.15mm","13.95mm","10.15mm","13mm","10.15mm","B","360.00","1M"
"R416","RESC1608M","17.25mm","10.15mm","17.25mm","10.15mm","16.3mm","10.15mm","B","360.00","523k"
"R417","RESC1608M","14.05mm","15.45mm","14.05mm","15.45mm","15mm","15.45mm","B","180.00","154k"
"U400","SOT95P280X100-6N","13.9mm","12.8mm","13.9mm","12.8mm","12.95mm","14.025mm","B","270.00","LTC6993-1"
"D400","CD1608-0603","17.8mm","14.4mm","17.8mm","14.4mm","17.8mm","15.25mm","B","270.00","CDBU0240"
"D401","CD1608-0603","19.15mm","14.4mm","19.15mm","14.4mm","19.15mm","15.25mm","B","270.00","CDBU0240"
"R211","RESC1608M","20.4mm","46mm","20.4mm","46mm","20.4mm","45.05mm","B","90.00","100k"
"R212","RESC1608M","18.85mm","46mm","18.85mm","46mm","18.85mm","45.05mm","B","90.00","200k"
"U202","MF05A_N","18.9mm","18mm","18.9mm","18mm","19.85mm","16.8mm","B","90.00","LMV7239"
"BT1","ML614-TZ21","72.7mm","33.85mm","72.7mm","28.85mm","73.45mm","33.85mm","B","90.00","Battery"
"C67","CAPC1005N","75.8mm","55.3mm","75.8mm","55.3mm","75.8mm","55.9mm","B","270.00","100nF"
"R27","RESC1005N","69.4mm","55.3mm","69.4mm","55.3mm","69.4mm","54.7mm","B","90.00","100k"
"R29","RESC1005N","75.15mm","43.4mm","75.15mm","43.4mm","75.75mm","43.4mm","B","180.00","100k"
"R30","RESC1005N","74.55mm","55.3mm","74.55mm","55.3mm","74.55mm","55.9mm","B","270.00","100k"
"U7","SOIC127P600X175-14N","71.9mm","49.8mm","71.9mm","49.8mm","75.71mm","47.2mm","B","90.00","FM33256B-G"
"Y2","XTAL_CC7V-T1A","70mm","44.35mm","70mm","44.35mm","71.25mm","44.35mm","B","180.00","32.768 kHz"
"J1","PIN1","52.35mm","39.878mm","52.35mm","39.7mm","52.35mm","39.878mm","T","0.00","Socket"
"Q1","SUPERSOT-6","55.45mm","38.75mm","55.45mm","37.8mm","54.15mm","37.8mm","B","90.00","FDC6330L"
"R22","RESC1608L","58.35mm","38.75mm","58.35mm","38.75mm","58.35mm","39.5mm","B","270.00","500k"
"R23","RESC1608L","45.35mm","38.1mm","45.35mm","38.1mm","46.1mm","38.1mm","B","180.00","500k"

